Path_len,Reached,Total_Length,Num_counted,Avg_len
27.4,F,4186.5,145,28.87241379
31.4,F,,,
25.4,F,,,
27.7,F,,,
29.1,F,,,
28.2,T,,,
33.5,T,,,
31.7,T,,,
24.5,F,,,
26.2,F,,,
29.9,F,,,
24.8,F,,,
26.5,F,,,
26.1,F,,,
30.6,F,,,
27,F,,,
27.2,F,,,
32.3,T,,,
26.3,F,,,
30.3,F,,,
31,T,,,
30.2,T,,,
27.7,F,,,
31.4,F,,,
28.2,T,,,
24.8,F,,,
33.1,F,,,
28.9,F,,,
28.3,T,,,
27,F,,,
26.8,F,,,
25,F,,,
28.5,F,,,
27.3,F,,,
23.9,F,,,
34.2,T,,,
26,T,,,
28.9,F,,,
29.9,T,,,
26.6,F,,,
30.7,F,,,
26.4,F,,,
26.5,F,,,
30.6,T,,,
24.7,F,,,
32.3,F,,,
27.7,T,,,
22.1,F,,,
29.5,F,,,
33.3,T,,,
24.3,F,,,
26.1,F,,,
29.5,F,,,
27.9,T,,,
29.3,T,,,
33.6,T,,,
30.5,T,,,
27.3,F,,,
31.4,F,,,
28.7,T,,,
26.9,F,,,
27.5,T,,,
24,F,,,
23.7,F,,,
32.8,F,,,
26.8,T,,,
28.5,T,,,
25.1,F,,,
27.9,T,,,
24.9,F,,,
30.8,F,,,
23.9,F,,,
25.7,F,,,
29.6,T,,,
33.7,T,,,
26,F,,,
28,F,,,
25.9,F,,,
24.9,F,,,
27.5,F,,,
25.3,F,,,
26.9,F,,,
31.5,F,,,
26,F,,,
25.3,F,,,
27,F,,,
31.1,F,,,
26.4,F,,,
27.3,T,,,
28.2,F,,,
29,T,,,
19.4,F,,,
25.2,F,,,
28.6,F,,,
23.5,F,,,
28.9,T,,,
31.7,F,,,
28.7,F,,,
23.4,F,,,
22,F,,,
29.9,T,,,
22.8,F,,,
25.1,T,,,
28,F,,,
27.6,F,,,
23.9,F,,,
24.8,F,,,
25.5,F,,,
30,F,,,
25.6,F,,,
27.5,T,,,
27.7,F,,,
25.3,T,,,
28.1,T,,,
29,F,,,
23.3,F,,,
25.3,F,,,
29.4,F,,,
29,F,,,
25.6,F,,,
28.5,F,,,
26.3,F,,,
32.3,F,,,
23.7,F,,,
29.8,T,,,
30.3,F,,,
20.5,F,,,
28.3,T,,,
26.2,T,,,
28.6,T,,,
36,T,,,
29.9,T,,,
23.9,F,,,
27.4,F,,,
24.3,F,,,
22,F,,,
28.7,T,,,
26,T,,,
25.2,F,,,
24.6,F,,,
28.3,F,,,
25.3,F,,,
22.9,F,,,
26.6,T,,,
30.1,F,,,
32.4,F,,,
34.1,F,,,
26.9,F,,,
22.3,F,,,
23.3,F,,,
29.1,F,,,
20.7,F,,,
27.9,T,,,
25.6,F,,,
29.5,F,,,
29.5,T,,,
31,F,,,
30.7,F,,,
30.3,F,,,
22.8,F,,,
29.5,F,,,
25.6,F,,,
23.1,F,,,
29.1,F,,,
27.7,F,,,
27.1,F,,,
29.5,T,,,
29.6,F,,,
27.7,F,,,
25.5,F,,,
28.4,F,,,
28.7,F,,,
29.8,F,,,
31,F,,,
35.6,F,,,
30.5,T,,,
29.8,F,,,
25.3,F,,,
28,F,,,
28.2,F,,,
27.5,T,,,
28.8,F,,,
24.1,F,,,
27.4,F,,,
23.6,F,,,
25.7,F,,,
26.2,T,,,
23.7,F,,,
26.6,F,,,
27.3,F,,,
27.3,F,,,
24.2,F,,,
31.3,F,,,
25.6,T,,,
31.3,F,,,
30.4,T,,,
27,T,,,
25.6,F,,,
32.1,F,,,
33.5,T,,,
24.8,F,,,
31.3,F,,,
28.6,T,,,
35.6,T,,,
25.8,T,,,
27.8,F,,,
26.2,F,,,
25.5,F,,,
28.2,F,,,
31.1,T,,,
28.3,F,,,
30.2,F,,,
28.5,F,,,
19,F,,,
30.4,T,,,
30.2,F,,,
25.3,F,,,
22.4,F,,,
31.6,F,,,
23.4,F,,,
26.4,F,,,
30,F,,,
29.1,F,,,
27.8,T,,,
27.4,F,,,
27.2,F,,,
28.9,T,,,
27.6,F,,,
27.2,F,,,
25.4,F,,,
25.8,F,,,
35.8,F,,,
28.1,T,,,
