Path_len,Reached,Total Length,Num Iters,Avg_length
32.5,T,12543.5,421,29.79453682
32.1,T,,,
32.5,T,,,
35.2,T,,,
29,F,,,
29.2,T,,,
30.4,T,,,
26.8,T,,,
27,T,,,
28.5,T,,,
37.6,F,,,
28.1,T,,,
26.7,T,,,
28.3,T,,,
35.9,T,,,
27,T,,,
40.1,T,,,
28,T,,,
25.6,T,,,
27.3,T,,,
34.3,T,,,
27.6,T,,,
27.9,T,,,
33.1,T,,,
29.5,T,,,
28,T,,,
26.5,T,,,
28.9,T,,,
30,T,,,
27.1,T,,,
27,T,,,
27.1,F,,,
27.5,T,,,
28.2,T,,,
31,F,,,
26,T,,,
34.9,T,,,
27.4,T,,,
30.8,T,,,
26.5,T,,,
28.1,T,,,
30.4,T,,,
32.8,T,,,
27.5,F,,,
29.9,T,,,
27.3,F,,,
30.6,T,,,
30.4,T,,,
29,F,,,
29.3,T,,,
26.2,T,,,
31.1,T,,,
31.7,T,,,
33.7,T,,,
34.7,T,,,
27.9,T,,,
26.6,T,,,
26.6,T,,,
34.7,T,,,
30.8,T,,,
31.7,F,,,
26.9,T,,,
28.6,T,,,
26.1,F,,,
32.7,F,,,
25.5,T,,,
25.5,T,,,
25.9,F,,,
30.1,T,,,
35.4,F,,,
27.7,T,,,
31.5,T,,,
28.5,T,,,
27.4,F,,,
29.9,T,,,
30.3,T,,,
26.7,T,,,
27.8,T,,,
24.3,F,,,
27.5,T,,,
24.6,T,,,
26.7,T,,,
37.4,F,,,
26.2,T,,,
27,T,,,
29.7,T,,,
25.7,T,,,
28,T,,,
30.5,T,,,
28.9,F,,,
34.7,T,,,
32.6,T,,,
33.6,T,,,
29.2,T,,,
34.3,T,,,
27.3,T,,,
30.8,T,,,
26.2,F,,,
25.8,T,,,
31.4,T,,,
31.1,T,,,
38.5,T,,,
27.9,T,,,
29.5,T,,,
28.7,T,,,
29.7,T,,,
34.6,F,,,
26.1,T,,,
33.8,T,,,
30,T,,,
27.1,T,,,
30.3,T,,,
29.6,T,,,
26.3,T,,,
28.4,T,,,
32.6,T,,,
26.3,T,,,
32.5,T,,,
31.2,T,,,
26.4,T,,,
40.5,T,,,
25.8,T,,,
27.3,T,,,
25.1,F,,,
29.6,T,,,
28,T,,,
28.9,T,,,
27.2,T,,,
27.6,T,,,
26.9,T,,,
28.6,F,,,
25.7,F,,,
32.6,F,,,
35.8,T,,,
34.5,T,,,
27.6,T,,,
29.2,F,,,
31.2,T,,,
25.2,T,,,
37.3,T,,,
31.3,T,,,
27.3,T,,,
28.7,T,,,
35.3,T,,,
30.1,T,,,
27.8,T,,,
