Path_len,Reached,Total_length,total_iters,path_len
32.1,T,14232.3,470,30.28148936
32.2,T,,,
28.4,T,,,
27.4,T,,,
27.9,T,,,
34.2,T,,,
29.7,T,,,
26.5,T,,,
28.8,T,,,
27.8,T,,,
27.6,T,,,
36.6,T,,,
33.3,F,,,
29.4,T,,,
39.8,T,,,
36.4,T,,,
26.8,T,,,
32.4,T,,,
33.3,T,,,
30.7,T,,,
27.6,T,,,
26.8,T,,,
25.5,T,,,
33.6,T,,,
28.1,T,,,
41.6,T,,,
35.7,T,,,
26.9,T,,,
27.6,T,,,
29.6,F,,,
28,T,,,
28.1,T,,,
30.8,T,,,
30.6,T,,,
28.6,T,,,
27.7,T,,,
33.6,T,,,
36.8,T,,,
28.4,T,,,
27.4,T,,,
25.6,T,,,
29.7,T,,,
26.8,T,,,
34.1,F,,,
28.2,T,,,
30.9,F,,,
30.2,T,,,
33.9,T,,,
27.7,T,,,
28.4,T,,,
27.4,T,,,
29.1,T,,,
32.9,T,,,
28,T,,,
29.2,T,,,
27.2,T,,,
28.4,T,,,
28.6,T,,,
30.4,T,,,
25.1,T,,,
28,T,,,
28.6,T,,,
29.2,T,,,
26.6,T,,,
29.1,T,,,
27.6,T,,,
27.8,T,,,
26.9,T,,,
30.7,T,,,
26.6,T,,,
31.5,T,,,
35.7,T,,,
27.3,T,,,
31.3,T,,,
27.5,T,,,
30.5,T,,,
29.2,F,,,
29,T,,,
37.5,T,,,
29.5,T,,,
32.7,T,,,
26.3,T,,,
27.4,T,,,
30.1,T,,,
25,T,,,
32.5,T,,,
36.4,T,,,
28.9,T,,,
26.9,T,,,
25,T,,,
32.2,T,,,
29.2,T,,,
29.8,T,,,
34.9,F,,,
32.3,T,,,
30.1,T,,,
28.6,T,,,
26.1,T,,,
30.2,T,,,
32.4,T,,,
27.4,T,,,
27.3,T,,,
27.7,T,,,
29.3,T,,,
34,T,,,
28.1,T,,,
25.5,T,,,
27.5,T,,,
32.1,T,,,
32.3,T,,,
27,T,,,
28,T,,,
26.6,T,,,
28.9,F,,,
34.1,T,,,
33.5,F,,,
29.9,T,,,
34.7,F,,,
34,T,,,
27,T,,,
28.7,T,,,
31.3,T,,,
32.7,T,,,
27.7,T,,,
31.5,T,,,
29.4,T,,,
29.1,T,,,
27,T,,,
32.1,T,,,
28.7,T,,,
36.2,T,,,
41.3,T,,,
24.6,T,,,
33,T,,,
30.3,T,,,
28.2,T,,,
29.7,T,,,
33.5,T,,,
33.4,T,,,
25.3,T,,,
25.6,T,,,
27.5,T,,,
28.8,T,,,
31.8,T,,,
27.6,T,,,
26.3,T,,,
33.7,T,,,
30.5,F,,,
31.5,T,,,
27.1,T,,,
26.9,T,,,
27.5,T,,,
26.6,T,,,
27.5,T,,,
28.9,T,,,
30.2,T,,,
34.4,T,,,
28.8,T,,,
35.2,T,,,
25.6,T,,,
34.9,T,,,
32,T,,,
35.6,T,,,
40.5,T,,,
28.1,T,,,
28.8,T,,,
26.7,T,,,
29.8,T,,,
28.6,T,,,
36.8,T,,,
33.3,T,,,
32.3,T,,,
34.3,T,,,
28.2,T,,,
30,T,,,
34.1,T,,,
34.9,T,,,
29.3,T,,,
27.5,T,,,
27.3,T,,,
30.5,T,,,
27.5,T,,,
32.8,T,,,
27.5,T,,,
27.8,T,,,
30.8,T,,,
37.6,T,,,
26.8,T,,,
25.7,T,,,
35.6,T,,,
27.3,T,,,
38.4,T,,,
31.2,T,,,
26.7,T,,,
25.5,T,,,
31.5,T,,,
27,T,,,
32,F,,,
30.5,T,,,
28.5,T,,,
25.9,T,,,
32.5,T,,,
30.8,T,,,
27.5,T,,,
29.9,T,,,
34,T,,,
28.4,T,,,
30,T,,,
34.9,T,,,
28.8,T,,,
33.3,T,,,
33.7,T,,,
29.5,T,,,
27.2,T,,,
31.4,T,,,
29.1,T,,,
29.5,T,,,
32,T,,,
30.2,T,,,
34.4,T,,,
27.3,T,,,
30.7,T,,,
29.5,T,,,
30.6,T,,,
26.6,T,,,
29,T,,,
28.3,T,,,
38.8,T,,,
27.1,T,,,
29.8,T,,,
28,T,,,
30.1,T,,,
29.5,T,,,
29.3,T,,,
32.8,T,,,
32.5,T,,,
25.9,T,,,
29.1,T,,,
28.7,T,,,
29,T,,,
30,T,,,
27,T,,,
33.4,T,,,
26.3,T,,,
33.4,T,,,
28.4,T,,,
25.5,T,,,
40.9,T,,,
31.3,T,,,
30.3,T,,,
36.3,F,,,
31.7,F,,,
35.1,F,,,
32.3,T,,,
29.6,T,,,
28,T,,,
26.6,T,,,
32.7,T,,,
32.3,T,,,
35.4,F,,,
30.9,T,,,
26.6,T,,,
29.8,T,,,
27.5,T,,,
30,T,,,
27.9,T,,,
28.6,T,,,
27.4,T,,,
27.1,T,,,
30.3,T,,,
27.7,T,,,
32.8,T,,,
39.2,T,,,
33,T,,,
28,T,,,
29.3,T,,,
27.2,T,,,
36,T,,,
25.7,T,,,
29.4,T,,,
29.2,T,,,
28.5,T,,,
33.8,T,,,
35.4,T,,,
38.4,T,,,
27.6,T,,,
28.8,T,,,
25.7,T,,,
41,T,,,
33.6,T,,,
35.2,T,,,
28.4,T,,,
28,T,,,
29.6,T,,,
31.9,T,,,
31.3,F,,,
32.7,T,,,
28.4,T,,,
27.9,T,,,
33.8,T,,,
30.6,T,,,
26.8,T,,,
27,T,,,
35.1,T,,,
29.2,T,,,
31.1,T,,,
30.4,T,,,
26.2,T,,,
31.2,F,,,
32,T,,,
36.1,T,,,
29.4,T,,,
32.1,T,,,
26.8,T,,,
34.8,T,,,
34.8,T,,,
28.7,T,,,
30,T,,,
31.3,T,,,
32.7,T,,,
28.9,T,,,
28.8,T,,,
39.8,T,,,
31.6,T,,,
41.4,T,,,
33.2,T,,,
28.4,T,,,
30.7,T,,,
27.8,T,,,
31.6,T,,,
33.5,T,,,
28.9,T,,,
30.2,T,,,
28.6,T,,,
28.9,T,,,
28,T,,,
29,T,,,
30.7,T,,,
30.7,T,,,
34.4,T,,,
29.4,T,,,
32.2,T,,,
35.8,T,,,
30.7,T,,,
27.7,T,,,
29.9,F,,,
29.9,T,,,
26.8,T,,,
25,T,,,
29.4,T,,,
30.3,T,,,
36.3,F,,,
30.5,T,,,
36,T,,,
29.8,T,,,
29.3,T,,,
30.8,T,,,
30.3,T,,,
32.2,F,,,
31.5,T,,,
27.7,T,,,
30.7,F,,,
31.6,T,,,
29.3,T,,,
31.7,T,,,
31.2,T,,,
33.1,T,,,
26.4,T,,,
32.3,T,,,
26.1,F,,,
26.6,T,,,
27.6,T,,,
32.2,T,,,
26.1,T,,,
33.8,T,,,
37.1,T,,,
26.8,T,,,
29.4,T,,,
25.7,T,,,
34.2,T,,,
30.2,T,,,
28.7,T,,,
32.6,T,,,
29,T,,,
34.2,T,,,
28.3,T,,,
36.7,F,,,
33.7,T,,,
28.9,T,,,
25.5,T,,,
37.4,T,,,
35.4,T,,,
26,T,,,
31.9,T,,,
28.2,T,,,
34.2,T,,,
28.8,T,,,
30.4,T,,,
32.5,T,,,
30.1,T,,,
30.4,T,,,
34.9,F,,,
28.4,T,,,
30.3,T,,,
27.3,T,,,
40,T,,,
26.8,T,,,
31.3,T,,,
33.5,F,,,
29.3,T,,,
32.6,T,,,
30.2,T,,,
32.7,T,,,
28.3,T,,,
32.4,T,,,
24.6,T,,,
33.9,T,,,
26.2,T,,,
27,T,,,
32.1,T,,,
29.5,T,,,
29.5,T,,,
31.4,T,,,
27.8,T,,,
29.4,T,,,
32.3,T,,,
29.9,T,,,
30.6,T,,,
27.6,T,,,
28.7,T,,,
27.8,T,,,
29.4,T,,,
25.8,T,,,
28.8,T,,,
33.1,T,,,
25.7,T,,,
30.8,T,,,
32.4,T,,,
29,F,,,
33.4,T,,,
28.7,T,,,
32.6,T,,,
25.7,T,,,
27.8,T,,,
27,F,,,
31.7,T,,,
38.1,T,,,
27.9,T,,,
27.8,T,,,
31.3,T,,,
30.5,T,,,
35.7,T,,,
29.8,T,,,
29.5,T,,,
25.3,T,,,
31.9,T,,,
29,T,,,
27.3,T,,,
34.6,F,,,
30.3,T,,,
30.9,T,,,
27.1,T,,,
36.5,T,,,
36,T,,,
26.3,T,,,
33,T,,,
35.9,T,,,
